From,From no,To,To no
Christian Bale,5,Midsummer Night's Dream A (1999),1071
Christian Bale,5,Mio min Mio (1987),1072
Christian Bale,5,New World The (2005),1073
Christian Bale,5,Newsies (1992),1074
Christian Bale,5,Pocahontas (1995),1075
Christian Bale,5,Portrait of a Lady The (1996),1076
Christian Bale,5,Prince of Jutland (1994),1077
Christian Bale,5,Reign of Fire (2002),1078
Christian Bale,5,Secret Agent The (1996),1079
Christian Bale,5,Shaft (2000),1080
Christian Bale,5,Shaft: Still the Man (2000),1081
Christian Bale,5,Swing Kids (1993),1082
Christian Bale,5,Velvet Goldmine (1998),1083
Lance Bangs,6,Being John Malkovich (1999),1084
Orson Bean,7,Being John Malkovich (1999),1084
Ned Bellamy,8,Being John Malkovich (1999),1084
Steve Berens,9,Adam Sandler Goes to Hell (2001),1085
Howard Berger,10,Adam Sandler Goes to Hell (2001),1085
Yogi Berra,11,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Perry Andelin Blake,12,Adam Sandler Goes to Hell (2001),1085
Paul Borghese,13,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Steven Brill (I),14,Adam Sandler Goes to Hell (2001),1085
W. Earl Brown,15,Being John Malkovich (1999),1084
William Buck (II),16,Being John Malkovich (1999),1084
Kevin Carroll,17,Being John Malkovich (1999),1084
Dana Carvey,18,Adam Sandler Goes to Hell (2001),1085
Blake Clark,19,Adam Sandler Goes to Hell (2001),1085
Robert F. Colesberry,20,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Allen Covert,21,Adam Sandler Goes to Hell (2001),1085
Billy Crystal,22,Adventures of Rocky & Bullwinkle The (2000),1087
Billy Crystal,22,All-Star Toast to the Improv An (1988),1088
Billy Crystal,22,America's Sweethearts (2001),1089
Billy Crystal,22,American Movie: The Making of Northwestern (1999),1090
Billy Crystal,22,Analyze That (2002),1091
Billy Crystal,22,Analyze This (1999),1092
Billy Crystal,22,Animalympics (1980),1093
Billy Crystal,22,As You Wish: The Story of 'The Princess Bride' (2001),1094
Billy Crystal,22,Century of Cinema A (1994),1095
Billy Crystal,22,City Slickers (1991),1096
Billy Crystal,22,City Slickers II: The Legend of Curly's Gold (1994),1097
Billy Crystal,22,Deconstructing Harry (1997),1098
Billy Crystal,22,Fathers' Day (1997),1099
Billy Crystal,22,Forget Paris (1995),1100
Billy Crystal,22,Get Bruce (1999),1101
Billy Crystal,22,Greatest Summer of My Life: Billy Crystal and the Making of '61*' The (2001),1086
Billy Crystal,22,Hamlet (1996),1102
Billy Crystal,22,Horton Hatches the Egg (1992),1103
Billy Crystal,22,How Harry Met Sally... (2000),1104
Billy Crystal,22,Making of 'Tron' The (2002),1105
Billy Crystal,22,Memories of Me (1988),1106
Billy Crystal,22,Mike's New Car (2002),1107
Billy Crystal,22,Monsters Inc. (2001),1108
Billy Crystal,22,Mr. Saturday Night (1992),1109
Billy Crystal,22,Muhammad Ali: Through the Eyes of the World (2001),1110
Billy Crystal,22,My Giant (1998),1111
Billy Crystal,22,Oscar's Greatest Moments (1992),1112
Billy Crystal,22,Princess Bride The (1987),1113
Billy Crystal,22,Rabbit Test (1978),1114
Billy Crystal,22,Running Scared (1986),1115
Billy Crystal,22,Saturday Night Live: Game Show Parodies (1998),1116
Billy Crystal,22,Tell Them Who You Are (2004),1117
Billy Crystal,22,This Is Spinal Tap (1984),1118
Billy Crystal,22,Throw Momma from the Train (1987),1119
Billy Crystal,22,Untitled Billy Crystal Project (2005),1120
Billy Crystal,22,When Harry Met Sally... (1989),1121
John Cusack,23,Being John Malkovich (1999),1084
Peter Cushing,24,Actor's Notebook: Christopher Lee (2002),1122
Rodney Dangerfield,25,Adam Sandler Goes to Hell (2001),1085
Erik Jan deBoer,26,Adam Sandler Goes to Hell (2001),1085
Kave Deymar,27,Cheshmane John Malkovich (2004),1001
Andy Dick,28,Being John Malkovich (1999),1084
Ata Emamian,29,Cheshmane John Malkovich (2004),1001
Gerald Emerick,30,Being John Malkovich (1999),1084
Richard Fancy,31,Being John Malkovich (1999),1084
Mohammad Reza Farhoudi,32,Cheshmane John Malkovich (2004),1001
David Fincher,33,Being John Malkovich (1999),1084
Morgan Freeman (I),34,All On Accounta Pullin' A Trigger (2002),1123
Morgan Freeman (I),34,Along Came a Spider (2001),1124
Morgan Freeman (I),34,Amistad (1997),1125
Morgan Freeman (I),34,Batman Begins (2005),1061
Morgan Freeman (I),34,Big Bounce The (2004),1126
Morgan Freeman (I),34,Blade (1973),1127
Morgan Freeman (I),34,Bonfire of the Vanities The (1990),1128
Morgan Freeman (I),34,Brubaker (1980),1129
Morgan Freeman (I),34,Bruce Almighty (2003),1130
Morgan Freeman (I),34,Century of Cinema A (1994),1095
Morgan Freeman (I),34,Chain Reaction (1996),1131
Morgan Freeman (I),34,Clean and Sober (1988),1132
Morgan Freeman (I),34,Colors Straight Up (2004),1133
Morgan Freeman (I),34,Coriolanus (1979),1134
Morgan Freeman (I),34,Cosmic Voyage (1996),1135
Morgan Freeman (I),34,Death of a Prophet (1981),1136
Morgan Freeman (I),34,Declaration of Independence (2003),1137
Morgan Freeman (I),34,Deep Impact (1998),1138
Morgan Freeman (I),34,Delta Blues Museum (2003),1139
Morgan Freeman (I),34,Dreamcatcher (2003),1140
Morgan Freeman (I),34,Driving Miss Daisy (1989),1141
Morgan Freeman (I),34,Edison (2005),1142
Morgan Freeman (I),34,Eyewitness (1981),1143
Morgan Freeman (I),34,Freedomland (2005),1144
Morgan Freeman (I),34,Glory (1989),1145
Morgan Freeman (I),34,Guilty by Association (2003),1146
Morgan Freeman (I),34,Hard Rain (1998),1147
Morgan Freeman (I),34,Harry and Son (1984),1148
Morgan Freeman (I),34,High Crimes (2002),1149
Morgan Freeman (I),34,Hunting of the President The (2004),1150
Morgan Freeman (I),34,Johnny Handsome (1989),1151
Morgan Freeman (I),34,Kiss the Girls (1997),1152
Morgan Freeman (I),34,Lean on Me (1989),1153
Morgan Freeman (I),34,Levity (2003),1154
Morgan Freeman (I),34,Long Walk to Freedom (2004),1155
Morgan Freeman (I),34,Long Way Home The (1997),1156
Morgan Freeman (I),34,Lucky Number Slevin (2005),1157
Morgan Freeman (I),34,Making of 'Along Came a Spider' The (2001),1158
Morgan Freeman (I),34,Making of 'Amistad' The (1999),1159
Morgan Freeman (I),34,Man Called Adam A (1966),1160
Morgan Freeman (I),34,Marie (1985),1161
Morgan Freeman (I),34,Million Dollar Baby (2004),1162
Morgan Freeman (I),34,Moll Flanders (1996),1163
Morgan Freeman (I),34,Nurse Betty (2000),1164
Morgan Freeman (I),34,Outbreak (1995),1165
Morgan Freeman (I),34,Power of One The (1992),1166
Morgan Freeman (I),34,Robin Hood: Prince of Thieves (1991),1167
Morgan Freeman (I),34,Scandalize My Name: Stories from the Blacklist (1998),1168
Morgan Freeman (I),34,Screening (1998),1169
Morgan Freeman (I),34,Se7en (1995),1170
Morgan Freeman (I),34,Shawshank Redemption The (1994),1171
Morgan Freeman (I),34,Street Smart (1987),1172
Morgan Freeman (I),34,Sum of All Fears The (2002),1173
Morgan Freeman (I),34,Survivors of the Shoah: Visual History Foundation (2004),1174
Morgan Freeman (I),34,Teachers (1984),1175
Morgan Freeman (I),34,That Was Then... This Is Now (1985),1176
Morgan Freeman (I),34,True Story of Glory Continues The (1991),1177
Morgan Freeman (I),34,Tusker (2004),1178
Morgan Freeman (I),34,Under Suspicion (2000),1179
Morgan Freeman (I),34,Unfinished Life An (2004),1180
Morgan Freeman (I),34,Unforgiven (1992),1181
Morgan Freeman (I),34,Untitled Morgan Freeman WWII Project (2006),1182
Morgan Freeman (I),34,Who Says I Can't Ride a Rainbow? (1971),1183
Clark Gable,35,1950's: Music Memories & Milestones The (1988),1184
Clark Gable,35,Across the Wide Missouri (1951),1185
Clark Gable,35,Adventure (1945),1186
Clark Gable,35,After Office Hours (1935),1187
Clark Gable,35,Any Number Can Play (1949),1188
Clark Gable,35,Band of Angels (1957),1189
Clark Gable,35,Betrayed (1954),1190
Clark Gable,35,Big Parade of Comedy The (1964),1191
Clark Gable,35,Boom Town (1940),1192
Clark Gable,35,Brother Can You Spare a Dime? (1975),1193
Clark Gable,35,But Not for Me (1959),1194
Clark Gable,35,Cain and Mabel (1936),1195
Clark Gable,35,Call of the Wild The (1935),1196
Clark Gable,35,Callaway Went Thataway (1951),1197
Clark Gable,35,Candid Camera Story (Very Candid) of the Metro-Goldwyn-Mayer Pictures 1937 Convention The (1937),1198
Clark Gable,35,Chained (1934),1199
Clark Gable,35,China Seas (1935),1200
Clark Gable,35,Christmas Party The (1931),1201
Clark Gable,35,Classe americaine La (1993),1202
Clark Gable,35,Combat America (1943),1203
Clark Gable,35,Command Decision (1948),1204
Clark Gable,35,Comrade X (1940),1205
Clark Gable,35,Dance Fools Dance (1931),1206
Clark Gable,35,Dancing Lady (1933),1207
Clark Gable,35,Declassee (1925),1208
Clark Gable,35,Easiest Way The (1931),1209
Clark Gable,35,Finger Points The (1931),1210
Clark Gable,35,Forbidden Paradise (1924),1211
Clark Gable,35,Forsaking All Others (1934),1212
Clark Gable,35,Free Soul A (1931),1213
Clark Gable,35,Going Hollywood: The '30s (1984),1214
Clark Gable,35,Gone with the Wind (1939),1215
Clark Gable,35,Hell Divers (1931),1216
Clark Gable,35,Hold Your Man (1933),1217
Clark Gable,35,Hollywood Goes to Town (1938),1218
Clark Gable,35,Hollywood Hobbies (1935),1219
Clark Gable,35,Hollywood Hobbies (1939),1220
Clark Gable,35,Hollywood on Parade (1990),1221
Clark Gable,35,Hollywood on Parade No. 9 (1933),1222
Clark Gable,35,Hollywood Party (1937),1223
Clark Gable,35,Hollywood Sex Symbols (1988),1224
Clark Gable,35,Homecoming (1948),1225
Clark Gable,35,Honky Tonk (1941),1226
Clark Gable,35,Hooray for Hollywood (1975),1227
Clark Gable,35,Hucksters The (1947),1228
Clark Gable,35,Idiot's Delight (1939),1229
Clark Gable,35,Inside Daisy Clover (1965),1230
Clark Gable,35,It Happened One Night (1934),1231
Clark Gable,35,It Started in Naples (1960),1232
Clark Gable,35,Jackie Cooper's Birthday Party (1931),1233
Clark Gable,35,James Dean Story The (1957),1234
Clark Gable,35,Johnstown Flood The (1926),1235
Clark Gable,35,Judy Garland's Hollywood (1997),1236
Clark Gable,35,Key to the City (1950),1237
Clark Gable,35,King and Four Queens The (1956),1238
Clark Gable,35,Laughing Sinners (1931),1239
Clark Gable,35,Legends of Entertainment Video (1995),1240
Clark Gable,35,Lone Star (1952),1241
Clark Gable,35,Love Goddesses The (1965),1242
Clark Gable,35,Love on the Run (1936),1243
Clark Gable,35,Manhattan Melodrama (1934),1244
Clark Gable,35,Men in White (1934),1245
Clark Gable,35,Merry Kiddo The (1925),1246
Clark Gable,35,Merry Widow The (1925),1247
Clark Gable,35,Misfits The (1961),1248
Clark Gable,35,Mogambo (1953),1249
Clark Gable,35,Mutiny on the Bounty (1935),1250
Clark Gable,35,Never Let Me Go (1953),1251
Clark Gable,35,Night Flight (1933),1252
Clark Gable,35,Night Nurse (1931),1253
Clark Gable,35,No Man of Her Own (1932),1254
Clark Gable,35,North Star (1925),1255
Clark Gable,35,Northward Ho! (1940),1256
Clark Gable,35,One Minute to Play (1926),1257
Clark Gable,35,Pacemakers The (1925),1258
Clark Gable,35,Painted Desert The (1931),1259
Clark Gable,35,Parnell (1937),1260
Clark Gable,35,Plastic Age The (1925),1261
Clark Gable,35,Polly of the Circus (1932),1262
Clark Gable,35,Possessed (1931),1263
Clark Gable,35,Red Dust (1932),1264
Clark Gable,35,Run Silent Run Deep (1958),1265
Clark Gable,35,San Francisco (1936),1266
Clark Gable,35,Saratoga (1937),1267
Clark Gable,35,Screen Actors (1950),1268
Clark Gable,35,Screen Snapshots (1932),1269
Clark Gable,35,Screen Snapshots Series 23 No. 1: Hollywood in Uniform (1943),1270
Clark Gable,35,Screen Snapshots: Memories in Uniform (1954),1271
Clark Gable,35,Screen Snapshots: Stars on Horseback (1939),1272
Clark Gable,35,Secret Six The (1931),1273
Clark Gable,35,Show Business at War (1943),1274
Clark Gable,35,Soldier of Fortune (1955),1275
Clark Gable,35,Somewhere I'll Find You (1942),1276
Clark Gable,35,Sporting Blood (1931),1277
Clark Gable,35,Starlit Days at the Lido (1935),1278
Clark Gable,35,Strange Cargo (1940),1279
Clark Gable,35,Strange Interlude (1932),1280
Clark Gable,35,Susan Lenox (Her Fall and Rise) (1931),1281
Clark Gable,35,Tall Men The (1955),1282
Clark Gable,35,Teacher's Pet (1958),1283
Clark Gable,35,Test Pilot (1938),1284
Clark Gable,35,That's Dancing! (1985),1285
Clark Gable,35,That's Entertainment! (1974),1286
Clark Gable,35,That's Entertainment Part II (1976),1287
Clark Gable,35,They Met in Bombay (1941),1288
Clark Gable,35,To Please a Lady (1950),1289
Clark Gable,35,Too Hot to Handle (1938),1290
Clark Gable,35,We Remember Marilyn (1996),1291
Clark Gable,35,What Price Gloria? (1925),1292
Clark Gable,35,White Man (1924),1293
Clark Gable,35,White Sister The (1933),1294
Clark Gable,35,Wife vs. Secretary (1936),1295
Clark Gable,35,Wings Up (1943),1296
Clark Gable,35,You Can't Fool a Camera (1941),1297
Willie Garson,36,Being John Malkovich (1999),1084
Danny Glover,37,3 A.M. (2001),1298
Danny Glover,37,Angels in the Outfield (1994),1299
Danny Glover,37,Antz (1998),1300
Danny Glover,37,Barnyard The (2005),1301
Danny Glover,37,Bat*21 (1988),1302
Danny Glover,37,Beloved (1998),1303
Danny Glover,37,Boesman and Lena (2000),1304
Danny Glover,37,Bopha! (1993),1305
Danny Glover,37,Battu (2000),1306
Danny Glover,37,Can't You Hear the Wind Howl? The Life & Music of Robert Johnson (1997),1307
Danny Glover,37,Chu Chu and the Philly Flash (1981),1308
Danny Glover,37,Collaboration of Spirits: Casting and Acting 'The Color Purple' A (2003),1309
Danny Glover,37,Color Purple The (1985),1310
Danny Glover,37,Cookout The (2004),1311
Danny Glover,37,Duplicity (2004),1312
Danny Glover,37,Ennis' Gift (2000),1313
Danny Glover,37,Escape from Alcatraz (1979),1314
Danny Glover,37,Flight of the Intruder (1991),1315
Danny Glover,37,Gone Fishin' (1997),1316
Danny Glover,37,Grand Canyon (1991),1317
Danny Glover,37,Hollywood on Horses (1989),1318
Danny Glover,37,How Stella Got Her Groove Back (1998),1319
Danny Glover,37,Iceman (1984),1320
Danny Glover,37,Kidnapped (1994),1321
Danny Glover,37,Lethal Weapon (1987),1322
Danny Glover,37,Lethal Weapon 2 (1989),1323
Danny Glover,37,Lethal Weapon 3 (1992),1324
Danny Glover,37,Lethal Weapon 4 (1998),1325
Danny Glover,37,Manderlay (2005),1326
Danny Glover,37,Maverick (1994),1327
Danny Glover,37,Monster The (1999),1328
Danny Glover,37,Operation Dumbo Drop (1995),1329
Danny Glover,37,Oscar Micheaux Film Pioneer (1981),1330
Danny Glover,37,Our Friend Martin (1999),1331
Danny Glover,37,Out (1982),1332
Danny Glover,37,Places in the Heart (1984),1333
Danny Glover,37,Predator 2 (1990),1334
Danny Glover,37,Prince of Egypt The (1998),1335
Danny Glover,37,Pure Luck (1991),1336
Danny Glover,37,Rabbit Ears: How the Leopard Got His Spots (1989),1337
Danny Glover,37,Rage in Harlem A (1991),1338
Danny Glover,37,Rainmaker The (1997),1339
Danny Glover,37,Royal Tenenbaums The (2001),1340
Danny Glover,37,Saint of Fort Washington The (1993),1341
Danny Glover,37,Saw (2004),1342
Danny Glover,37,Shaggy Dog The (2005),1343
Danny Glover,37,Silverado (1985),1344
Danny Glover,37,Switchback (1997),1345
Danny Glover,37,Talking Eggs The (1992),1346
Danny Glover,37,To Sleep with Anger (1990),1347
Danny Glover,37,Wild America (1997),1348
Danny Glover,37,Witness (1985),1349
Danny Glover,37,Woodcutter (2004),1350
Danny Glover,37,XXI Century (2003),1351
Cary Grant,38,Affair to Remember An (1957),1352
Cary Grant,38,Alice in Wonderland (1933),1353
Cary Grant,38,Amazing Quest of Ernest Bliss The (1936),1354
Cary Grant,38,Arsenic and Old Lace (1944),1355
Cary Grant,38,Awful Truth The (1937),1356
Cary Grant,38,Bachelor and the Bobby-Soxer The (1947),1357
Cary Grant,38,Big Brown Eyes (1936),1358
Cary Grant,38,Big Parade of Comedy The (1964),1191
Cary Grant,38,Bishop's Wife The (1947),1359
Cary Grant,38,Blonde Venus (1932),1360
Cary Grant,38,Born to Be Bad (1934),1361
Cary Grant,38,Bringing Up Baby (1938),1362
Cary Grant,38,Brother Can You Spare a Dime? (1975),1193
Cary Grant,38,Callaway Went Thataway (1951),1197
Cary Grant,38,Canciones para despues de una guerra (1971),1363
Cary Grant,38,Cary Grant on Film (1999),1364
Cary Grant,38,Charade (1963),1365
Cary Grant,38,Crisis (1950),1366
Cary Grant,38,Destination Tokyo (1943),1367
Cary Grant,38,Devil and the Deep (1932),1368
Cary Grant,38,Dream Wife (1953),1369
Cary Grant,38,Eagle and the Hawk The (1933),1370
Cary Grant,38,Elvis: That's the Way It Is (1970),1371
Cary Grant,38,Enter Madame (1935),1372
Cary Grant,38,Every Girl Should Be Married (1948),1373
Cary Grant,38,Father Goose (1964),1374
Cary Grant,38,Gambling Ship (1933),1375
Cary Grant,38,George Stevens: A Filmmaker's Journey (1985),1376
Cary Grant,38,Grass Is Greener The (1960),1377
Cary Grant,38,Gunga Din (1939),1378
Cary Grant,38,His Girl Friday (1940),1379
Cary Grant,38,Holiday (1938),1380
Cary Grant,38,Hollywood on Parade No. 9 (1933),1222
Cary Grant,38,Hollywood Sex Symbols (1988),1224
Cary Grant,38,Hollywood Without Make-Up (1950),1381
Cary Grant,38,Hooray for Hollywood (1975),1227
Cary Grant,38,Hot Saturday (1932),1382
Cary Grant,38,Houseboat (1958),1383
Cary Grant,38,Howards of Virginia The (1940),1384
Cary Grant,38,I Was a Male War Bride (1949),1385
Cary Grant,38,I'm No Angel (1933),1386
Cary Grant,38,In Name Only (1939),1387
Cary Grant,38,Indiscreet (1958),1388
Cary Grant,38,It's Showtime (1976),1389
Cary Grant,38,Judy Garland's Hollywood (1997),1236
Cary Grant,38,Ken Murray Shooting Stars (1979),1390
Cary Grant,38,Kiss and Make Up (1934),1391
Cary Grant,38,Kiss Them for Me (1957),1392
Cary Grant,38,Ladies Should Listen (1934),1393
Cary Grant,38,Last Outpost The (1935),1394
Cary Grant,38,Legends of Entertainment Video (1995),1240
Cary Grant,38,Love Goddesses The (1965),1242
Cary Grant,38,Madame Butterfly (1932),1395
Cary Grant,38,Merrily We Go to Hell (1932),1396
Cary Grant,38,Monkey Business (1952),1397
Cary Grant,38,Mr. Blandings Builds His Dream House (1948),1398
Cary Grant,38,Mr. Lucky (1943),1399
Cary Grant,38,My Favorite Wife (1940),1400
Cary Grant,38,Night and Day (1946),1401
Cary Grant,38,None But the Lonely Heart (1944),1402
Cary Grant,38,North by Northwest (1959),1403
Cary Grant,38,Notorious (1946),1404
Cary Grant,38,Notre Dame de la Croisette (1981),1405
Cary Grant,38,Once Upon a Honeymoon (1942),1406
Cary Grant,38,Once Upon a Time (1944),1407
Cary Grant,38,Only Angels Have Wings (1939),1408
Cary Grant,38,Operation Petticoat (1959),1409
Cary Grant,38,Penny Serenade (1941),1410
Cary Grant,38,People Will Talk (1951),1411
Cary Grant,38,Philadelphia Story The (1940),1412
Cary Grant,38,Pirate Party on Catalina Isle (1935),1413
Cary Grant,38,Pride and the Passion The (1957),1414
Cary Grant,38,Road to Victory (1944),1415
Cary Grant,38,Room for One More (1952),1416
Cary Grant,38,She Done Him Wrong (1933),1417
Cary Grant,38,Singapore Sue (1932),1418
Cary Grant,38,Sinners in the Sun (1932),1419
Cary Grant,38,Suspicion (1941),1420
Cary Grant,38,Suzy (1936),1421
Cary Grant,38,Sylvia Scarlett (1935),1422
Cary Grant,38,Talk of the Town The (1942),1423
Cary Grant,38,Terror in the Aisles (1984),1424
Cary Grant,38,That Touch of Mink (1962),1425
Cary Grant,38,That's Action (1977),1426
Cary Grant,38,That's Dancing! (1985),1285
Cary Grant,38,That's Entertainment! (1974),1286
Cary Grant,38,That's Entertainment Part II (1976),1287
Cary Grant,38,Thirty Day Princess (1934),1427
Cary Grant,38,This Is the Night (1932),1428
Cary Grant,38,To Catch a Thief (1955),1429
Cary Grant,38,Toast of New York The (1937),1430
Cary Grant,38,Topper (1937),1431
Cary Grant,38,Topper Takes a Trip (1939),1432
Cary Grant,38,Tribute to the Will Rogers Memorial Hospital A (1965),1433
Cary Grant,38,True Love (2003),1434
Cary Grant,38,Walk Don't Run (1966),1435
Cary Grant,38,Wedding Present (1936),1436
Cary Grant,38,When You're in Love (1937),1437
Cary Grant,38,Wings in the Dark (1935),1438
Cary Grant,38,Without Reservations (1946),1439
Cary Grant,38,Woman Accused (1933),1440
Charles Grodin (I),39,11 Harrowhouse (1974),1441
Charles Grodin (I),39,20000 Leagues Under the Sea (1954),1442
Charles Grodin (I),39,Beethoven (1992),1443
Charles Grodin (I),39,Beethoven's 2nd (1993),1444
Charles Grodin (I),39,Catch-22 (1970),1445
Charles Grodin (I),39,Clifford (1994),1446
Charles Grodin (I),39,Couch Trip The (1988),1447
Charles Grodin (I),39,Cranium Command (1989),1448
Charles Grodin (I),39,Dave (1993),1449
Charles Grodin (I),39,Great Muppet Caper The (1981),1450
Charles Grodin (I),39,Heart and Souls (1993),1451
Charles Grodin (I),39,Heartbreak Kid The (1972),1452
Charles Grodin (I),39,Heaven Can Wait (1978),1453
Charles Grodin (I),39,Incredible Shrinking Woman The (1981),1454
Charles Grodin (I),39,Ishtar (1987),1455
Charles Grodin (I),39,It's My Turn (1980),1456
Charles Grodin (I),39,King Kong (1976),1457
Charles Grodin (I),39,Last Resort (1986),1458
Charles Grodin (I),39,Lonely Guy The (1984),1459
Charles Grodin (I),39,Midnight Run (1988),1460
Charles Grodin (I),39,Movers and Shakers (1985),1461
Charles Grodin (I),39,My Summer Story (1994),1462
Charles Grodin (I),39,Real Life (1979),1463
Charles Grodin (I),39,Rosemary's Baby (1968),1464
Charles Grodin (I),39,Seems Like Old Times (1980),1465
Charles Grodin (I),39,Sex and the College Girl (1964),1466
Charles Grodin (I),39,So I Married an Axe Murderer (1993),1467
Charles Grodin (I),39,Sunburn (1979),1468
Charles Grodin (I),39,Taking Care of Business (1990),1469
Charles Grodin (I),39,Thieves (1977),1470
Charles Grodin (I),39,Woman in Red The (1984),1471
Charles Grodin (I),39,You Can't Hurry Love (1988),1472
Alec Guinness,40,Barnacle Bill (1957),1473
Alec Guinness,40,Bridge on the River Kwai The (1957),1474
Alec Guinness,40,Captain's Paradise The (1953),1475
Alec Guinness,40,Card The (1952),1476
Alec Guinness,40,Comedians in Africa The (1967),1477
Alec Guinness,40,Comedians The (1967),1478
Alec Guinness,40,Cromwell (1970),1479
Alec Guinness,40,Doctor Zhivago (1965),1480
Alec Guinness,40,Evensong (1934),1481
Alec Guinness,40,Fall of the Roman Empire The (1964),1482
Alec Guinness,40,Father Brown (1954),1483
Alec Guinness,40,Foreign Field A (1993),1484
Alec Guinness,40,Fratello sole sorella luna (1972),1485
Alec Guinness,40,Geisha Boy The (1958),1486
Alec Guinness,40,Grace Kelly: The American Princess (1991),1487
Alec Guinness,40,Great Expectations (1946),1488
Alec Guinness,40,H.M.S. Defiant (1962),1489
Alec Guinness,40,Handful of Dust A (1988),1490
Alec Guinness,40,Hitler: The Last Ten Days (1973),1491
Alec Guinness,40,Horse's Mouth The (1958),1492
Alec Guinness,40,Hotel Paradiso (1966),1493
Alec Guinness,40,Kafka (1991),1494
Alec Guinness,40,Kind Hearts and Coronets (1949),1495
Alec Guinness,40,Ladykillers The (1955),1496
Alec Guinness,40,Last Holiday (1950),1497
Alec Guinness,40,Lavender Hill Mob The (1951),1498
Alec Guinness,40,Lawrence of Arabia (1962),1499
Alec Guinness,40,Little Dorrit (1988),1500
Alec Guinness,40,Lovesick (1983),1501
